city_name,category,week_beginning,holiday_in_week,actual_crimes
"Austin, TX",non-residential burglary,2016-01-04,FALSE,39
"Austin, TX",non-residential burglary,2016-01-11,FALSE,46
"Austin, TX",non-residential burglary,2016-01-18,TRUE,48
"Austin, TX",non-residential burglary,2016-01-25,FALSE,37
"Austin, TX",non-residential burglary,2016-02-01,FALSE,37
"Austin, TX",non-residential burglary,2016-02-08,FALSE,37
"Austin, TX",non-residential burglary,2016-02-15,TRUE,41
"Austin, TX",non-residential burglary,2016-02-22,FALSE,36
"Austin, TX",non-residential burglary,2016-02-29,FALSE,32
"Austin, TX",non-residential burglary,2016-03-07,FALSE,30
"Austin, TX",non-residential burglary,2016-03-14,FALSE,30
"Austin, TX",non-residential burglary,2016-03-21,TRUE,26
"Austin, TX",non-residential burglary,2016-03-28,FALSE,32
"Austin, TX",non-residential burglary,2016-04-04,FALSE,37
"Austin, TX",non-residential burglary,2016-04-11,FALSE,25
"Austin, TX",non-residential burglary,2016-04-18,FALSE,26
"Austin, TX",non-residential burglary,2016-04-25,FALSE,43
"Austin, TX",non-residential burglary,2016-05-02,FALSE,24
"Austin, TX",non-residential burglary,2016-05-09,FALSE,38
"Austin, TX",non-residential burglary,2016-05-16,FALSE,23
"Austin, TX",non-residential burglary,2016-05-23,FALSE,25
"Austin, TX",non-residential burglary,2016-05-30,TRUE,21
"Austin, TX",non-residential burglary,2016-06-06,FALSE,46
"Austin, TX",non-residential burglary,2016-06-13,FALSE,36
"Austin, TX",non-residential burglary,2016-06-20,FALSE,33
"Austin, TX",non-residential burglary,2016-06-27,FALSE,33
"Austin, TX",non-residential burglary,2016-07-04,TRUE,29
"Austin, TX",non-residential burglary,2016-07-11,FALSE,30
"Austin, TX",non-residential burglary,2016-07-18,FALSE,31
"Austin, TX",non-residential burglary,2016-07-25,FALSE,16
"Austin, TX",non-residential burglary,2016-08-01,FALSE,27
"Austin, TX",non-residential burglary,2016-08-08,FALSE,14
"Austin, TX",non-residential burglary,2016-08-15,FALSE,28
"Austin, TX",non-residential burglary,2016-08-22,FALSE,11
"Austin, TX",non-residential burglary,2016-08-29,FALSE,25
"Austin, TX",non-residential burglary,2016-09-05,TRUE,33
"Austin, TX",non-residential burglary,2016-09-12,FALSE,31
"Austin, TX",non-residential burglary,2016-09-19,FALSE,17
"Austin, TX",non-residential burglary,2016-09-26,FALSE,27
"Austin, TX",non-residential burglary,2016-10-03,FALSE,35
"Austin, TX",non-residential burglary,2016-10-10,FALSE,26
"Austin, TX",non-residential burglary,2016-10-17,FALSE,30
"Austin, TX",non-residential burglary,2016-10-24,FALSE,36
"Austin, TX",non-residential burglary,2016-10-31,FALSE,39
"Austin, TX",non-residential burglary,2016-11-07,FALSE,30
"Austin, TX",non-residential burglary,2016-11-14,FALSE,30
"Austin, TX",non-residential burglary,2016-11-21,TRUE,38
"Austin, TX",non-residential burglary,2016-11-28,FALSE,38
"Austin, TX",non-residential burglary,2016-12-05,FALSE,24
"Austin, TX",non-residential burglary,2016-12-12,FALSE,35
"Austin, TX",non-residential burglary,2016-12-19,FALSE,34
"Austin, TX",non-residential burglary,2016-12-26,TRUE,38
"Austin, TX",non-residential burglary,2017-01-02,TRUE,19
"Austin, TX",non-residential burglary,2017-01-09,FALSE,24
"Austin, TX",non-residential burglary,2017-01-16,TRUE,20
"Austin, TX",non-residential burglary,2017-01-23,FALSE,25
"Austin, TX",non-residential burglary,2017-01-30,FALSE,28
"Austin, TX",non-residential burglary,2017-02-06,FALSE,32
"Austin, TX",non-residential burglary,2017-02-13,FALSE,39
"Austin, TX",non-residential burglary,2017-02-20,TRUE,23
"Austin, TX",non-residential burglary,2017-02-27,FALSE,27
"Austin, TX",non-residential burglary,2017-03-06,FALSE,31
"Austin, TX",non-residential burglary,2017-03-13,FALSE,26
"Austin, TX",non-residential burglary,2017-03-20,FALSE,36
"Austin, TX",non-residential burglary,2017-03-27,FALSE,38
"Austin, TX",non-residential burglary,2017-04-03,FALSE,36
"Austin, TX",non-residential burglary,2017-04-10,TRUE,29
"Austin, TX",non-residential burglary,2017-04-17,FALSE,34
"Austin, TX",non-residential burglary,2017-04-24,FALSE,29
"Austin, TX",non-residential burglary,2017-05-01,FALSE,32
"Austin, TX",non-residential burglary,2017-05-08,FALSE,24
"Austin, TX",non-residential burglary,2017-05-15,FALSE,25
"Austin, TX",non-residential burglary,2017-05-22,FALSE,36
"Austin, TX",non-residential burglary,2017-05-29,TRUE,35
"Austin, TX",non-residential burglary,2017-06-05,FALSE,39
"Austin, TX",non-residential burglary,2017-06-12,FALSE,58
"Austin, TX",non-residential burglary,2017-06-19,FALSE,30
"Austin, TX",non-residential burglary,2017-06-26,FALSE,32
"Austin, TX",non-residential burglary,2017-07-03,TRUE,23
"Austin, TX",non-residential burglary,2017-07-10,FALSE,23
"Austin, TX",non-residential burglary,2017-07-17,FALSE,31
"Austin, TX",non-residential burglary,2017-07-24,FALSE,26
"Austin, TX",non-residential burglary,2017-07-31,FALSE,21
"Austin, TX",non-residential burglary,2017-08-07,FALSE,24
"Austin, TX",non-residential burglary,2017-08-14,FALSE,27
"Austin, TX",non-residential burglary,2017-08-21,FALSE,30
"Austin, TX",non-residential burglary,2017-08-28,FALSE,28
"Austin, TX",non-residential burglary,2017-09-04,TRUE,28
"Austin, TX",non-residential burglary,2017-09-11,FALSE,28
"Austin, TX",non-residential burglary,2017-09-18,FALSE,29
"Austin, TX",non-residential burglary,2017-09-25,FALSE,35
"Austin, TX",non-residential burglary,2017-10-02,FALSE,37
"Austin, TX",non-residential burglary,2017-10-09,FALSE,29
"Austin, TX",non-residential burglary,2017-10-16,FALSE,35
"Austin, TX",non-residential burglary,2017-10-23,FALSE,31
"Austin, TX",non-residential burglary,2017-10-30,FALSE,38
"Austin, TX",non-residential burglary,2017-11-06,FALSE,35
"Austin, TX",non-residential burglary,2017-11-13,FALSE,27
"Austin, TX",non-residential burglary,2017-11-20,TRUE,29
"Austin, TX",non-residential burglary,2017-11-27,FALSE,34
"Austin, TX",non-residential burglary,2017-12-04,FALSE,30
"Austin, TX",non-residential burglary,2017-12-11,FALSE,24
"Austin, TX",non-residential burglary,2017-12-18,FALSE,48
"Austin, TX",non-residential burglary,2017-12-25,TRUE,28
"Austin, TX",non-residential burglary,2018-01-01,TRUE,51
"Austin, TX",non-residential burglary,2018-01-08,FALSE,35
"Austin, TX",non-residential burglary,2018-01-15,TRUE,36
"Austin, TX",non-residential burglary,2018-01-22,FALSE,32
"Austin, TX",non-residential burglary,2018-01-29,FALSE,27
"Austin, TX",non-residential burglary,2018-02-05,FALSE,30
"Austin, TX",non-residential burglary,2018-02-12,FALSE,26
"Austin, TX",non-residential burglary,2018-02-19,TRUE,27
"Austin, TX",non-residential burglary,2018-02-26,FALSE,30
"Austin, TX",non-residential burglary,2018-03-05,FALSE,21
"Austin, TX",non-residential burglary,2018-03-12,FALSE,32
"Austin, TX",non-residential burglary,2018-03-19,FALSE,18
"Austin, TX",non-residential burglary,2018-03-26,TRUE,16
"Austin, TX",non-residential burglary,2018-04-02,FALSE,26
"Austin, TX",non-residential burglary,2018-04-09,FALSE,22
"Austin, TX",non-residential burglary,2018-04-16,FALSE,33
"Austin, TX",non-residential burglary,2018-04-23,FALSE,31
"Austin, TX",non-residential burglary,2018-04-30,FALSE,50
"Austin, TX",non-residential burglary,2018-05-07,FALSE,38
"Austin, TX",non-residential burglary,2018-05-14,FALSE,21
"Austin, TX",non-residential burglary,2018-05-21,FALSE,31
"Austin, TX",non-residential burglary,2018-05-28,TRUE,25
"Austin, TX",non-residential burglary,2018-06-04,FALSE,34
"Austin, TX",non-residential burglary,2018-06-11,FALSE,45
"Austin, TX",non-residential burglary,2018-06-18,FALSE,30
"Austin, TX",non-residential burglary,2018-06-25,FALSE,29
"Austin, TX",non-residential burglary,2018-07-02,TRUE,51
"Austin, TX",non-residential burglary,2018-07-09,FALSE,38
"Austin, TX",non-residential burglary,2018-07-16,FALSE,36
"Austin, TX",non-residential burglary,2018-07-23,FALSE,21
"Austin, TX",non-residential burglary,2018-07-30,FALSE,29
"Austin, TX",non-residential burglary,2018-08-06,FALSE,28
"Austin, TX",non-residential burglary,2018-08-13,FALSE,24
"Austin, TX",non-residential burglary,2018-08-20,FALSE,35
"Austin, TX",non-residential burglary,2018-08-27,FALSE,23
"Austin, TX",non-residential burglary,2018-09-03,TRUE,36
"Austin, TX",non-residential burglary,2018-09-10,FALSE,27
"Austin, TX",non-residential burglary,2018-09-17,FALSE,58
"Austin, TX",non-residential burglary,2018-09-24,FALSE,30
"Austin, TX",non-residential burglary,2018-10-01,FALSE,15
"Austin, TX",non-residential burglary,2018-10-08,FALSE,31
"Austin, TX",non-residential burglary,2018-10-15,FALSE,36
"Austin, TX",non-residential burglary,2018-10-22,FALSE,26
"Austin, TX",non-residential burglary,2018-10-29,FALSE,34
"Austin, TX",non-residential burglary,2018-11-05,FALSE,37
"Austin, TX",non-residential burglary,2018-11-12,FALSE,33
"Austin, TX",non-residential burglary,2018-11-19,TRUE,47
"Austin, TX",non-residential burglary,2018-11-26,FALSE,39
"Austin, TX",non-residential burglary,2018-12-03,FALSE,29
"Austin, TX",non-residential burglary,2018-12-10,FALSE,24
"Austin, TX",non-residential burglary,2018-12-17,FALSE,28
"Austin, TX",non-residential burglary,2018-12-24,TRUE,35
"Austin, TX",non-residential burglary,2018-12-31,TRUE,32
"Austin, TX",non-residential burglary,2019-01-07,FALSE,36
"Austin, TX",non-residential burglary,2019-01-14,FALSE,33
"Austin, TX",non-residential burglary,2019-01-21,TRUE,35
"Austin, TX",non-residential burglary,2019-01-28,FALSE,29
"Austin, TX",non-residential burglary,2019-02-04,FALSE,30
"Austin, TX",non-residential burglary,2019-02-11,FALSE,39
"Austin, TX",non-residential burglary,2019-02-18,TRUE,40
"Austin, TX",non-residential burglary,2019-02-25,FALSE,33
"Austin, TX",non-residential burglary,2019-03-04,FALSE,34
"Austin, TX",non-residential burglary,2019-03-11,FALSE,47
"Austin, TX",non-residential burglary,2019-03-18,FALSE,41
"Austin, TX",non-residential burglary,2019-03-25,FALSE,31
"Austin, TX",non-residential burglary,2019-04-01,FALSE,25
"Austin, TX",non-residential burglary,2019-04-08,FALSE,34
"Austin, TX",non-residential burglary,2019-04-15,TRUE,29
"Austin, TX",non-residential burglary,2019-04-22,FALSE,14
"Austin, TX",non-residential burglary,2019-04-29,FALSE,33
"Austin, TX",non-residential burglary,2019-05-06,FALSE,33
"Austin, TX",non-residential burglary,2019-05-13,FALSE,20
"Austin, TX",non-residential burglary,2019-05-20,FALSE,39
"Austin, TX",non-residential burglary,2019-05-27,TRUE,38
"Austin, TX",non-residential burglary,2019-06-03,FALSE,45
"Austin, TX",non-residential burglary,2019-06-10,FALSE,32
"Austin, TX",non-residential burglary,2019-06-17,FALSE,40
"Austin, TX",non-residential burglary,2019-06-24,FALSE,59
"Austin, TX",non-residential burglary,2019-07-01,TRUE,38
"Austin, TX",non-residential burglary,2019-07-08,FALSE,35
"Austin, TX",non-residential burglary,2019-07-15,FALSE,54
"Austin, TX",non-residential burglary,2019-07-22,FALSE,50
"Austin, TX",non-residential burglary,2019-07-29,FALSE,38
"Austin, TX",non-residential burglary,2019-08-05,FALSE,34
"Austin, TX",non-residential burglary,2019-08-12,FALSE,32
"Austin, TX",non-residential burglary,2019-08-19,FALSE,44
"Austin, TX",non-residential burglary,2019-08-26,FALSE,30
"Austin, TX",non-residential burglary,2019-09-02,TRUE,43
"Austin, TX",non-residential burglary,2019-09-09,FALSE,38
"Austin, TX",non-residential burglary,2019-09-16,FALSE,33
"Austin, TX",non-residential burglary,2019-09-23,FALSE,37
"Austin, TX",non-residential burglary,2019-09-30,FALSE,20
"Austin, TX",non-residential burglary,2019-10-07,FALSE,44
"Austin, TX",non-residential burglary,2019-10-14,FALSE,40
"Austin, TX",non-residential burglary,2019-10-21,FALSE,28
"Austin, TX",non-residential burglary,2019-10-28,FALSE,48
"Austin, TX",non-residential burglary,2019-11-04,FALSE,50
"Austin, TX",non-residential burglary,2019-11-11,FALSE,38
"Austin, TX",non-residential burglary,2019-11-18,FALSE,45
"Austin, TX",non-residential burglary,2019-11-25,TRUE,55
"Austin, TX",non-residential burglary,2019-12-02,FALSE,35
"Austin, TX",non-residential burglary,2019-12-09,FALSE,45
"Austin, TX",non-residential burglary,2019-12-16,FALSE,35
"Austin, TX",non-residential burglary,2019-12-23,TRUE,58
"Austin, TX",non-residential burglary,2019-12-30,TRUE,47
"Austin, TX",non-residential burglary,2020-01-06,FALSE,38
"Austin, TX",non-residential burglary,2020-01-13,FALSE,35
"Austin, TX",non-residential burglary,2020-01-20,TRUE,29
"Austin, TX",non-residential burglary,2020-01-27,FALSE,30
"Austin, TX",non-residential burglary,2020-02-03,FALSE,45
"Austin, TX",non-residential burglary,2020-02-10,FALSE,42
"Austin, TX",non-residential burglary,2020-02-17,TRUE,36
"Austin, TX",non-residential burglary,2020-02-24,FALSE,28
"Austin, TX",non-residential burglary,2020-03-02,FALSE,42
"Austin, TX",non-residential burglary,2020-03-09,FALSE,34
"Austin, TX",non-residential burglary,2020-03-16,FALSE,39
"Austin, TX",non-residential burglary,2020-03-23,FALSE,46
"Austin, TX",non-residential burglary,2020-03-30,FALSE,45
"Austin, TX",non-residential burglary,2020-04-06,TRUE,43
"Austin, TX",non-residential burglary,2020-04-13,FALSE,33
"Austin, TX",non-residential burglary,2020-04-20,FALSE,49
"Austin, TX",residential burglary,2016-01-04,FALSE,73
"Austin, TX",residential burglary,2016-01-11,FALSE,58
"Austin, TX",residential burglary,2016-01-18,TRUE,70
"Austin, TX",residential burglary,2016-01-25,FALSE,81
"Austin, TX",residential burglary,2016-02-01,FALSE,68
"Austin, TX",residential burglary,2016-02-08,FALSE,67
"Austin, TX",residential burglary,2016-02-15,TRUE,64
"Austin, TX",residential burglary,2016-02-22,FALSE,55
"Austin, TX",residential burglary,2016-02-29,FALSE,55
"Austin, TX",residential burglary,2016-03-07,FALSE,66
"Austin, TX",residential burglary,2016-03-14,FALSE,75
"Austin, TX",residential burglary,2016-03-21,TRUE,58
"Austin, TX",residential burglary,2016-03-28,FALSE,65
"Austin, TX",residential burglary,2016-04-04,FALSE,62
"Austin, TX",residential burglary,2016-04-11,FALSE,68
"Austin, TX",residential burglary,2016-04-18,FALSE,70
"Austin, TX",residential burglary,2016-04-25,FALSE,79
"Austin, TX",residential burglary,2016-05-02,FALSE,91
"Austin, TX",residential burglary,2016-05-09,FALSE,65
"Austin, TX",residential burglary,2016-05-16,FALSE,67
"Austin, TX",residential burglary,2016-05-23,FALSE,65
"Austin, TX",residential burglary,2016-05-30,TRUE,74
"Austin, TX",residential burglary,2016-06-06,FALSE,50
"Austin, TX",residential burglary,2016-06-13,FALSE,66
"Austin, TX",residential burglary,2016-06-20,FALSE,72
"Austin, TX",residential burglary,2016-06-27,FALSE,65
"Austin, TX",residential burglary,2016-07-04,TRUE,56
"Austin, TX",residential burglary,2016-07-11,FALSE,55
"Austin, TX",residential burglary,2016-07-18,FALSE,52
"Austin, TX",residential burglary,2016-07-25,FALSE,63
"Austin, TX",residential burglary,2016-08-01,FALSE,40
"Austin, TX",residential burglary,2016-08-08,FALSE,51
"Austin, TX",residential burglary,2016-08-15,FALSE,50
"Austin, TX",residential burglary,2016-08-22,FALSE,73
"Austin, TX",residential burglary,2016-08-29,FALSE,71
"Austin, TX",residential burglary,2016-09-05,TRUE,52
"Austin, TX",residential burglary,2016-09-12,FALSE,59
"Austin, TX",residential burglary,2016-09-19,FALSE,49
"Austin, TX",residential burglary,2016-09-26,FALSE,91
"Austin, TX",residential burglary,2016-10-03,FALSE,79
"Austin, TX",residential burglary,2016-10-10,FALSE,67
"Austin, TX",residential burglary,2016-10-17,FALSE,63
"Austin, TX",residential burglary,2016-10-24,FALSE,72
"Austin, TX",residential burglary,2016-10-31,FALSE,92
"Austin, TX",residential burglary,2016-11-07,FALSE,67
"Austin, TX",residential burglary,2016-11-14,FALSE,72
"Austin, TX",residential burglary,2016-11-21,TRUE,66
"Austin, TX",residential burglary,2016-11-28,FALSE,101
"Austin, TX",residential burglary,2016-12-05,FALSE,73
"Austin, TX",residential burglary,2016-12-12,FALSE,94
"Austin, TX",residential burglary,2016-12-19,FALSE,75
"Austin, TX",residential burglary,2016-12-26,TRUE,72
"Austin, TX",residential burglary,2017-01-02,TRUE,52
"Austin, TX",residential burglary,2017-01-09,FALSE,79
"Austin, TX",residential burglary,2017-01-16,TRUE,81
"Austin, TX",residential burglary,2017-01-23,FALSE,65
"Austin, TX",residential burglary,2017-01-30,FALSE,70
"Austin, TX",residential burglary,2017-02-06,FALSE,42
"Austin, TX",residential burglary,2017-02-13,FALSE,58
"Austin, TX",residential burglary,2017-02-20,TRUE,59
"Austin, TX",residential burglary,2017-02-27,FALSE,58
"Austin, TX",residential burglary,2017-03-06,FALSE,55
"Austin, TX",residential burglary,2017-03-13,FALSE,54
"Austin, TX",residential burglary,2017-03-20,FALSE,61
"Austin, TX",residential burglary,2017-03-27,FALSE,59
"Austin, TX",residential burglary,2017-04-03,FALSE,55
"Austin, TX",residential burglary,2017-04-10,TRUE,34
"Austin, TX",residential burglary,2017-04-17,FALSE,47
"Austin, TX",residential burglary,2017-04-24,FALSE,43
"Austin, TX",residential burglary,2017-05-01,FALSE,51
"Austin, TX",residential burglary,2017-05-08,FALSE,53
"Austin, TX",residential burglary,2017-05-15,FALSE,53
"Austin, TX",residential burglary,2017-05-22,FALSE,64
"Austin, TX",residential burglary,2017-05-29,TRUE,52
"Austin, TX",residential burglary,2017-06-05,FALSE,49
"Austin, TX",residential burglary,2017-06-12,FALSE,33
"Austin, TX",residential burglary,2017-06-19,FALSE,45
"Austin, TX",residential burglary,2017-06-26,FALSE,52
"Austin, TX",residential burglary,2017-07-03,TRUE,41
"Austin, TX",residential burglary,2017-07-10,FALSE,56
"Austin, TX",residential burglary,2017-07-17,FALSE,41
"Austin, TX",residential burglary,2017-07-24,FALSE,58
"Austin, TX",residential burglary,2017-07-31,FALSE,55
"Austin, TX",residential burglary,2017-08-07,FALSE,56
"Austin, TX",residential burglary,2017-08-14,FALSE,59
"Austin, TX",residential burglary,2017-08-21,FALSE,47
"Austin, TX",residential burglary,2017-08-28,FALSE,59
"Austin, TX",residential burglary,2017-09-04,TRUE,50
"Austin, TX",residential burglary,2017-09-11,FALSE,40
"Austin, TX",residential burglary,2017-09-18,FALSE,52
"Austin, TX",residential burglary,2017-09-25,FALSE,45
"Austin, TX",residential burglary,2017-10-02,FALSE,51
"Austin, TX",residential burglary,2017-10-09,FALSE,30
"Austin, TX",residential burglary,2017-10-16,FALSE,65
"Austin, TX",residential burglary,2017-10-23,FALSE,51
"Austin, TX",residential burglary,2017-10-30,FALSE,49
"Austin, TX",residential burglary,2017-11-06,FALSE,39
"Austin, TX",residential burglary,2017-11-13,FALSE,67
"Austin, TX",residential burglary,2017-11-20,TRUE,36
"Austin, TX",residential burglary,2017-11-27,FALSE,57
"Austin, TX",residential burglary,2017-12-04,FALSE,54
"Austin, TX",residential burglary,2017-12-11,FALSE,69
"Austin, TX",residential burglary,2017-12-18,FALSE,61
"Austin, TX",residential burglary,2017-12-25,TRUE,48
"Austin, TX",residential burglary,2018-01-01,TRUE,45
"Austin, TX",residential burglary,2018-01-08,FALSE,43
"Austin, TX",residential burglary,2018-01-15,TRUE,44
"Austin, TX",residential burglary,2018-01-22,FALSE,45
"Austin, TX",residential burglary,2018-01-29,FALSE,46
"Austin, TX",residential burglary,2018-02-05,FALSE,47
"Austin, TX",residential burglary,2018-02-12,FALSE,51
"Austin, TX",residential burglary,2018-02-19,TRUE,42
"Austin, TX",residential burglary,2018-02-26,FALSE,39
"Austin, TX",residential burglary,2018-03-05,FALSE,45
"Austin, TX",residential burglary,2018-03-12,FALSE,40
"Austin, TX",residential burglary,2018-03-19,FALSE,38
"Austin, TX",residential burglary,2018-03-26,TRUE,36
"Austin, TX",residential burglary,2018-04-02,FALSE,42
"Austin, TX",residential burglary,2018-04-09,FALSE,51
"Austin, TX",residential burglary,2018-04-16,FALSE,28
"Austin, TX",residential burglary,2018-04-23,FALSE,51
"Austin, TX",residential burglary,2018-04-30,FALSE,42
"Austin, TX",residential burglary,2018-05-07,FALSE,54
"Austin, TX",residential burglary,2018-05-14,FALSE,37
"Austin, TX",residential burglary,2018-05-21,FALSE,36
"Austin, TX",residential burglary,2018-05-28,TRUE,43
"Austin, TX",residential burglary,2018-06-04,FALSE,48
"Austin, TX",residential burglary,2018-06-11,FALSE,47
"Austin, TX",residential burglary,2018-06-18,FALSE,61
"Austin, TX",residential burglary,2018-06-25,FALSE,53
"Austin, TX",residential burglary,2018-07-02,TRUE,53
"Austin, TX",residential burglary,2018-07-09,FALSE,58
"Austin, TX",residential burglary,2018-07-16,FALSE,43
"Austin, TX",residential burglary,2018-07-23,FALSE,64
"Austin, TX",residential burglary,2018-07-30,FALSE,51
"Austin, TX",residential burglary,2018-08-06,FALSE,65
"Austin, TX",residential burglary,2018-08-13,FALSE,46
"Austin, TX",residential burglary,2018-08-20,FALSE,64
"Austin, TX",residential burglary,2018-08-27,FALSE,57
"Austin, TX",residential burglary,2018-09-03,TRUE,52
"Austin, TX",residential burglary,2018-09-10,FALSE,46
"Austin, TX",residential burglary,2018-09-17,FALSE,51
"Austin, TX",residential burglary,2018-09-24,FALSE,50
"Austin, TX",residential burglary,2018-10-01,FALSE,46
"Austin, TX",residential burglary,2018-10-08,FALSE,51
"Austin, TX",residential burglary,2018-10-15,FALSE,47
"Austin, TX",residential burglary,2018-10-22,FALSE,68
"Austin, TX",residential burglary,2018-10-29,FALSE,54
"Austin, TX",residential burglary,2018-11-05,FALSE,52
"Austin, TX",residential burglary,2018-11-12,FALSE,68
"Austin, TX",residential burglary,2018-11-19,TRUE,48
"Austin, TX",residential burglary,2018-11-26,FALSE,64
"Austin, TX",residential burglary,2018-12-03,FALSE,42
"Austin, TX",residential burglary,2018-12-10,FALSE,58
"Austin, TX",residential burglary,2018-12-17,FALSE,56
"Austin, TX",residential burglary,2018-12-24,TRUE,39
"Austin, TX",residential burglary,2018-12-31,TRUE,42
"Austin, TX",residential burglary,2019-01-07,FALSE,45
"Austin, TX",residential burglary,2019-01-14,FALSE,39
"Austin, TX",residential burglary,2019-01-21,TRUE,38
"Austin, TX",residential burglary,2019-01-28,FALSE,43
"Austin, TX",residential burglary,2019-02-04,FALSE,51
"Austin, TX",residential burglary,2019-02-11,FALSE,41
"Austin, TX",residential burglary,2019-02-18,TRUE,30
"Austin, TX",residential burglary,2019-02-25,FALSE,41
"Austin, TX",residential burglary,2019-03-04,FALSE,37
"Austin, TX",residential burglary,2019-03-11,FALSE,52
"Austin, TX",residential burglary,2019-03-18,FALSE,41
"Austin, TX",residential burglary,2019-03-25,FALSE,29
"Austin, TX",residential burglary,2019-04-01,FALSE,34
"Austin, TX",residential burglary,2019-04-08,FALSE,30
"Austin, TX",residential burglary,2019-04-15,TRUE,34
"Austin, TX",residential burglary,2019-04-22,FALSE,53
"Austin, TX",residential burglary,2019-04-29,FALSE,43
"Austin, TX",residential burglary,2019-05-06,FALSE,33
"Austin, TX",residential burglary,2019-05-13,FALSE,51
"Austin, TX",residential burglary,2019-05-20,FALSE,48
"Austin, TX",residential burglary,2019-05-27,TRUE,51
"Austin, TX",residential burglary,2019-06-03,FALSE,25
"Austin, TX",residential burglary,2019-06-10,FALSE,39
"Austin, TX",residential burglary,2019-06-17,FALSE,38
"Austin, TX",residential burglary,2019-06-24,FALSE,30
"Austin, TX",residential burglary,2019-07-01,TRUE,39
"Austin, TX",residential burglary,2019-07-08,FALSE,61
"Austin, TX",residential burglary,2019-07-15,FALSE,44
"Austin, TX",residential burglary,2019-07-22,FALSE,46
"Austin, TX",residential burglary,2019-07-29,FALSE,43
"Austin, TX",residential burglary,2019-08-05,FALSE,44
"Austin, TX",residential burglary,2019-08-12,FALSE,46
"Austin, TX",residential burglary,2019-08-19,FALSE,58
"Austin, TX",residential burglary,2019-08-26,FALSE,47
"Austin, TX",residential burglary,2019-09-02,TRUE,52
"Austin, TX",residential burglary,2019-09-09,FALSE,46
"Austin, TX",residential burglary,2019-09-16,FALSE,62
"Austin, TX",residential burglary,2019-09-23,FALSE,48
"Austin, TX",residential burglary,2019-09-30,FALSE,53
"Austin, TX",residential burglary,2019-10-07,FALSE,57
"Austin, TX",residential burglary,2019-10-14,FALSE,49
"Austin, TX",residential burglary,2019-10-21,FALSE,46
"Austin, TX",residential burglary,2019-10-28,FALSE,49
"Austin, TX",residential burglary,2019-11-04,FALSE,48
"Austin, TX",residential burglary,2019-11-11,FALSE,47
"Austin, TX",residential burglary,2019-11-18,FALSE,66
"Austin, TX",residential burglary,2019-11-25,TRUE,55
"Austin, TX",residential burglary,2019-12-02,FALSE,60
"Austin, TX",residential burglary,2019-12-09,FALSE,49
"Austin, TX",residential burglary,2019-12-16,FALSE,39
"Austin, TX",residential burglary,2019-12-23,TRUE,35
"Austin, TX",residential burglary,2019-12-30,TRUE,20
"Austin, TX",residential burglary,2020-01-06,FALSE,39
"Austin, TX",residential burglary,2020-01-13,FALSE,43
"Austin, TX",residential burglary,2020-01-20,TRUE,33
"Austin, TX",residential burglary,2020-01-27,FALSE,42
"Austin, TX",residential burglary,2020-02-03,FALSE,34
"Austin, TX",residential burglary,2020-02-10,FALSE,51
"Austin, TX",residential burglary,2020-02-17,TRUE,38
"Austin, TX",residential burglary,2020-02-24,FALSE,40
"Austin, TX",residential burglary,2020-03-02,FALSE,54
"Austin, TX",residential burglary,2020-03-09,FALSE,28
"Austin, TX",residential burglary,2020-03-16,FALSE,30
"Austin, TX",residential burglary,2020-03-23,FALSE,41
"Austin, TX",residential burglary,2020-03-30,FALSE,39
"Austin, TX",residential burglary,2020-04-06,TRUE,25
"Austin, TX",residential burglary,2020-04-13,FALSE,33
"Austin, TX",residential burglary,2020-04-20,FALSE,33
"Austin, TX",serious assaults in public,2016-01-04,FALSE,51
"Austin, TX",serious assaults in public,2016-01-11,FALSE,70
"Austin, TX",serious assaults in public,2016-01-18,TRUE,54
"Austin, TX",serious assaults in public,2016-01-25,FALSE,53
"Austin, TX",serious assaults in public,2016-02-01,FALSE,62
"Austin, TX",serious assaults in public,2016-02-08,FALSE,71
"Austin, TX",serious assaults in public,2016-02-15,TRUE,66
"Austin, TX",serious assaults in public,2016-02-22,FALSE,62
"Austin, TX",serious assaults in public,2016-02-29,FALSE,67
"Austin, TX",serious assaults in public,2016-03-07,FALSE,60
"Austin, TX",serious assaults in public,2016-03-14,FALSE,85
"Austin, TX",serious assaults in public,2016-03-21,TRUE,56
"Austin, TX",serious assaults in public,2016-03-28,FALSE,79
"Austin, TX",serious assaults in public,2016-04-04,FALSE,68
"Austin, TX",serious assaults in public,2016-04-11,FALSE,66
"Austin, TX",serious assaults in public,2016-04-18,FALSE,57
"Austin, TX",serious assaults in public,2016-04-25,FALSE,69
"Austin, TX",serious assaults in public,2016-05-02,FALSE,56
"Austin, TX",serious assaults in public,2016-05-09,FALSE,71
"Austin, TX",serious assaults in public,2016-05-16,FALSE,83
"Austin, TX",serious assaults in public,2016-05-23,FALSE,76
"Austin, TX",serious assaults in public,2016-05-30,TRUE,70
"Austin, TX",serious assaults in public,2016-06-06,FALSE,77
"Austin, TX",serious assaults in public,2016-06-13,FALSE,85
"Austin, TX",serious assaults in public,2016-06-20,FALSE,51
"Austin, TX",serious assaults in public,2016-06-27,FALSE,63
"Austin, TX",serious assaults in public,2016-07-04,TRUE,62
"Austin, TX",serious assaults in public,2016-07-11,FALSE,52
"Austin, TX",serious assaults in public,2016-07-18,FALSE,52
"Austin, TX",serious assaults in public,2016-07-25,FALSE,47
